ACEN,110A,5.0,
ACEN,110B,5.0,
ACEN,110C,5.0,
ACEN,110D,5.0,
AM,3,5.0,"Prerequisite(s): score of 200 or higher on the  mathematics placement examination (MPE), or MATH 2."
AM,6,5.0,Prerequisite(s): MATH 2 or mathematics placement examination (MPE) score of 200 or higher or higher.
AM,10,5.0,Prerequisite(s): score of 400 or higher on the  mathematics placement examination (MPE)  or MATH 3.
AM,11A,5.0,",Students who have already taken MATH 11A or MATH 19A should not take this course. Prerequisite(s): score of 300 or higher on the mathematics placement examination (MPE), AM 3 or AM 6, or MATH 3."
AM,11B,5.0,"[""OR"", [""OR"", [""OR"", ""ECON 11A"", ""AM 11A""], ""MATH 11A""], ""MATH 19A""]"
AM,20,5.0,"[""OR"", [""OR"", ""MATH 19B"", [""AND"", ""MATH 20B"", ""AM 10""]], ""MATH 21""]"
AM,30,5.0,"[""OR"", [""OR"", ""AM 10"", [""AND"", ""MATH 21"", ""MATH 19B""]], ""MATH 20B""]"
AM,100,5.0,"Prerequisite(s): AM 20 and AM 30, or by permission of instructor."
AM,107,5.0,"[""OR"", [""OR"", [""OR"", ""AM 112"", ""MATH 107""], ""PHYS 116C""], ""EART 111""]"
AM,112,5.0,Prerequisite(s): AM 100 or by permission of the instructor. Enrollment is restricted to juniors and seniors.
AM,114,5.0,"Prerequisite(s): AM 20; or MATH 21 and MATH 24; or PHYS 116A. Enrollment is restricted to sophomores, juniors and seniors."
AM,115,5.0,"Prerequisite(s): STAT 131 and AM 20; a university-level course in biology, and operational knowledge of a programming language; or consent of instructor."
AM,129,5.0,"[""OR"", [""AND"", ""AM 10"", ""MATH 11A""], [""OR"", [""AND"", ""AM 10"", ""MATH 19A""], [""OR"", [""AND"", ""AM 10"", ""MATH 20A""], [""OR"", [""AND"", ""MATH 21"", ""MATH 11A""], [""OR"", [""AND"", ""MATH 21"", ""MATH 19A""], [""AND"", ""MATH 21"", ""MATH 20A""]]]]]]"
AM,147,5.0,
AM,148,5.0,Prerequisite(s): AM 147 or MATH 148 or PHYS 115.  Enrollment is restricted to juniors and seniors.
AM,170A,5.0,"Prerequisite(s): Satisfaction of the ELWR requirements. AM 30, and AM 114 or AM 214, and STAT 131 or CSE 107, or by permission of the instructor. Enrollment is restricted to juniors and seniors; graduate students may apply by permission."
AM,170B,5.0,"Prerequisites: AM 129 or AM 209, AM 147, and AM 112, and AM 170A. AM 170A may be taken concurrently with AM 170B on an exceptional basis by permission of the instructor. Enrollment is restricted to seniors. Graduate students may apply with permission of the instructor."
AM,198,5.0,
AM,198F,2.0,
ANTH,1,5.0,
ANTH,2,5.0,
ANTH,3,5.0,
ANTH,93,5.0,
ANTH,97,2.0,
ANTH,100,5.0,"Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3 and satisfaction of the Entry Level Writing and Composition requirements."
ANTH,101,5.0,"""ANTH 1"""
ANTH,102A,5.0,"""ANTH 1"""
ANTH,103,5.0,Prerequisite(s): ANTH 102A. Enrollment is restricted to juniors and seniors.
ANTH,103I,4.0,"""ANTH 102A"""
ANTH,104,5.0,
ANTH,105,5.0,Prerequisite(s): ANTH 1; ANTH 102A recommended.
ANTH,106,5.0,"""ANTH 1"""
ANTH,106A,,
ANTH,106B,2.0,"""ANTH 106A"""
ANTH,106C,2.0,
ANTH,107A,5.0,
ANTH,107B,5.0,"[""OR"", [""OR"", [""OR"", [""OR"", ""ANTH 101"", ""ANTH 104""], ""ANTH 106""], ""ANTH 107""], ""ANTH 110F""]"
ANTH,107C,5.0,
ANTH,107D,5.0,
ANTH,109,5.0,"""ANTH 1"""
ANTH,110A,5.0,
ANTH,110B,5.0,
ANTH,110C,5.0,
ANTH,110D,5.0,
ANTH,110E,5.0,
ANTH,110F,5.0,
ANTH,110G,5.0,
ANTH,110H,5.0,
ANTH,110I,5.0,
ANTH,110J,5.0,
ANTH,110K,5.0,
ANTH,110L,5.0,
ANTH,110N,5.0,
ANTH,110O,5.0,
ANTH,110P,5.0,
ANTH,110Q,5.0,
ANTH,110R,5.0,
ANTH,110S,5.0,
ANTH,110T,5.0,
ANTH,110U,5.0,
ANTH,110V,5.0,
ANTH,110W,5.0,
ANTH,110Y,5.0,
ANTH,111,5.0,
ANTH,112,5.0,"""ANTH 1"""
ANTH,113,2.0,
ANTH,119,5.0,
ANTH,121,5.0,
ANTH,122,5.0,
ANTH,123,5.0,"""ANTH 2"""
ANTH,124,5.0,
ANTH,125,5.0,
ANTH,126,5.0,
ANTH,127,5.0,
ANTH,128,5.0,
ANTH,129,5.0,"""ANTH 2"""
ANTH,130A,5.0,
ANTH,130B,5.0,"""ANTH 2"""
ANTH,130C,5.0,
ANTH,130E,5.0,"""ANTH 2"""
ANTH,130F,5.0,
ANTH,130G,5.0,
ANTH,130H,5.0,
ANTH,130I,5.0,
ANTH,130IG,5.0,
ANTH,130J,5.0,
ANTH,130L,5.0,"""ANTH 2"""
ANTH,130M,5.0,
ANTH,130N,5.0,
ANTH,130O,5.0,
ANTH,130P,5.0,
ANTH,130S,5.0,
ANTH,130T,5.0,
ANTH,130U,5.0,
ANTH,130V,5.0,
ANTH,130W,5.0,
ANTH,130X,5.0,"""ANTH 2"""
ANTH,130Y,5.0,Prerequisite(s): ANTH 2 or GCH 1; ANTH 2 strongly recommended.
ANTH,131,5.0,
ANTH,131H,2.0,
ANTH,133,5.0,
ANTH,134,5.0,"""ANTH 2"""
ANTH,135A,5.0,
ANTH,136,5.0,"""ANTH 2"""
ANTH,137,5.0,
ANTH,138,5.0,
ANTH,139,5.0,"""ANTH 2"""
ANTH,140,5.0,
ANTH,142,5.0,Enrollment is restricted to anthropology and legal studies majors.
ANTH,143,5.0,Prerequisite(s): ANTH 2 or any other Anthropology course.
ANTH,144,5.0,
ANTH,145X,5.0,"""ANTH 2"""
ANTH,146,5.0,"""ANTH 2"""
ANTH,147,5.0,"""ANTH 2"""
ANTH,148,5.0,
ANTH,149,5.0,
ANTH,150,5.0,"Prerequisite(s): two of the following courses: ANTH 1, ANTH 2, or ANTH 3; satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to sophomore and junior anthropology majors."
ANTH,151,5.0,"""ANTH 2"""
ANTH,152,5.0,Prerequisite(s): ANTH 2 and satisfaction of the Entry Level Writing and Composition requirements; enrollment is restricted to anthropology majors.
ANTH,153,5.0,"[""AND"", ""ANTH 2"", ""ANTH 134""]"
ANTH,157,5.0,
ANTH,158,5.0,
ANTH,159,5.0,
ANTH,160,5.0,
ANTH,161,5.0,
ANTH,161S,5.0,
ANTH,162,5.0,
ANTH,163,5.0,
ANTH,164,5.0,"""ANTH 2"""
ANTH,166,5.0,
ANTH,170,5.0,Prerequisite(s): ANTH 3; satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to anthropology and Earth sciences/anthropology combined majors. Recommended for juniors.
ANTH,171,5.0,"""ANTH 3"""
ANTH,172,5.0,Prerequisite(s): ANTH 3. Enrollment is restricted to anthropology majors.
ANTH,173,5.0,Enrollment is restricted to juniors and seniors.
ANTH,174,5.0,"""ANTH 3"""
ANTH,175,5.0,"""ANTH 3"""
ANTH,176A,5.0,Prerequisite(s): ANTH 3 or consent of instructor.
ANTH,176B,5.0,"""ANTH 3"""
ANTH,176C,5.0,"[""AND"", ""ANTH 3"", ""ANTH 176A""]"
ANTH,176D,5.0,"[""AND"", ""ANTH 2"", ""ANTH 3""]"
ANTH,176E,5.0,"""ANTH 3"""
ANTH,176F,5.0,"""ANTH 3"""
ANTH,177,5.0,
ANTH,178,5.0,
ANTH,180,5.0,Prerequisite(s): ANTH 3. Concurrent enrollment in ANTH 180L required. Enrollment is restricted to anthropology majors.
ANTH,180L,2.0,Prerequisite(s): ANTH 3. Concurrent enrollment in ANTH 180 required. Enrollment is restricted to anthropology majors.
ANTH,181X,5.0,"""ANTH 3"""
ANTH,182A,5.0,"""ANTH 3"""
ANTH,184,5.0,Prerequisite(s): ANTH 3; concurrent enrollment in ANTH 184L is required.
ANTH,184L,2.0,Prerequisite(s): ANTH 3 and concurrent enrollment in ANTH 184. Enrollment is restricted to anthropology majors and combined Earth sciences/anthropology majors.
ANTH,185,5.0,
ANTH,187,5.0,
ANTH,187B,5.0,"""ANTH 3"""
ANTH,188A,2.0,
ANTH,188B,2.0,
ANTH,188C,2.0,
ANTH,189,5.0,
ANTH,189A,5.0,Prerequisite(s): ANTH 3. Enrollment is by permission of the instructor. Enrollment is restricted to anthropology majors.
ANTH,190X,5.0,"""ANTH 1"""
ANTH,194A,5.0,
ANTH,194B,5.0,"Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3; satisfaction of the Entry Level Writing and Composition requirement. Enrollment is restricted to senior anthropology majors."
